(0, {'lat': 14.542877680425796, 'lon': 121.01054191589357})
(1, {'lat': 14.542877680425796, 'lon': 121.01234436035156})
(2, {'lat': 14.542877680425796, 'lon': 121.01414680480958})
(3, {'lat': 14.542877680425796, 'lon': 121.01594924926759})
(4, {'lat': 14.542877680425796, 'lon': 121.0177516937256})
(5, {'lat': 14.542877680425796, 'lon': 121.01955413818361})
(6, {'lat': 14.542877680425796, 'lon': 121.02135658264162})
(7, {'lat': 14.542877680425796, 'lon': 121.02315902709962})
(8, {'lat': 14.542877680425796, 'lon': 121.02496147155763})
(9, {'lat': 14.542877680425796, 'lon': 121.02676391601564})
(10, {'lat': 14.542877680425796, 'lon': 121.02856636047365})
(11, {'lat': 14.542877680425796, 'lon': 121.03036880493165})
(12, {'lat': 14.542877680425796, 'lon': 121.03217124938966})
(13, {'lat': 14.542877680425796, 'lon': 121.03397369384767})
(14, {'lat': 14.542877680425796, 'lon': 121.03577613830568})
(23, {'lat': 14.544705447665326, 'lon': 121.02496147155763})
(24, {'lat': 14.544705447665326, 'lon': 121.02676391601564})
(25, {'lat': 14.544705447665326, 'lon': 121.02856636047365})
(26, {'lat': 14.544705447665326, 'lon': 121.03036880493165})
(27, {'lat': 14.544705447665326, 'lon': 121.03217124938966})
(28, {'lat': 14.544705447665326, 'lon': 121.03397369384767})
(29, {'lat': 14.544705447665326, 'lon': 121.03577613830568})
(30, {'lat': 14.546450120464037, 'lon': 121.01054191589357})
(31, {'lat': 14.546450120464037, 'lon': 121.01234436035156})
(32, {'lat': 14.546450120464037, 'lon': 121.01414680480958})
(33, {'lat': 14.546450120464037, 'lon': 121.01594924926759})
(34, {'lat': 14.546450120464037, 'lon': 121.0177516937256})
(35, {'lat': 14.546450120464037, 'lon': 121.01955413818361})
(36, {'lat': 14.546450120464037, 'lon': 121.02135658264162})
(37, {'lat': 14.546450120464037, 'lon': 121.02315902709962})
(38, {'lat': 14.546450120464037, 'lon': 121.02496147155763})
(39, {'lat': 14.546450120464037, 'lon': 121.02676391601564})
(40, {'lat': 14.546450120464037, 'lon': 121.02856636047365})
(41, {'lat': 14.546450120464037, 'lon': 121.03036880493165})
(42, {'lat': 14.546450120464037, 'lon': 121.03217124938966})
(43, {'lat': 14.546450120464037, 'lon': 121.03397369384767})
(44, {'lat': 14.546450120464037, 'lon': 121.03577613830568})
(45, {'lat': 14.548277858134394, 'lon': 121.01054191589357})
(46, {'lat': 14.548277858134394, 'lon': 121.01234436035156})
(47, {'lat': 14.548277858134394, 'lon': 121.01414680480958})
(48, {'lat': 14.548277858134394, 'lon': 121.01594924926759})
(49, {'lat': 14.548277858134394, 'lon': 121.0177516937256})
(50, {'lat': 14.548277858134394, 'lon': 121.01955413818361})
(51, {'lat': 14.548277858134394, 'lon': 121.02135658264162})
(52, {'lat': 14.548277858134394, 'lon': 121.02315902709962})
(53, {'lat': 14.548277858134394, 'lon': 121.02496147155763})
(54, {'lat': 14.548277858134394, 'lon': 121.02676391601564})
(55, {'lat': 14.548277858134394, 'lon': 121.02856636047365})
(56, {'lat': 14.548277858134394, 'lon': 121.03036880493165})
(57, {'lat': 14.548277858134394, 'lon': 121.03217124938966})
(58, {'lat': 14.548277858134394, 'lon': 121.03397369384767})
