(0, {'lat': 14.52675944199523, 'lon': 121.00496292114259})
(1, {'lat': 14.52675944199523, 'lon': 121.0082244873047})
(2, {'lat': 14.52675944199523, 'lon': 121.01131439208984})
(3, {'lat': 14.52675944199523, 'lon': 121.01457595825197})
(4, {'lat': 14.52675944199523, 'lon': 121.01766586303712})
(5, {'lat': 14.52675944199523, 'lon': 121.02075576782228})
(6, {'lat': 14.52675944199523, 'lon': 121.02401733398439})
(7, {'lat': 14.52675944199523, 'lon': 121.02710723876955})
(8, {'lat': 14.52675944199523, 'lon': 121.0301971435547})
(9, {'lat': 14.52675944199523, 'lon': 121.03345870971681})
(11, {'lat': 14.52675944199523, 'lon': 121.03963851928712})
(12, {'lat': 14.52675944199523, 'lon': 121.04290008544923})
(14, {'lat': 14.52675944199523, 'lon': 121.04907989501955})
(15, {'lat': 14.52675944199523, 'lon': 121.05234146118165})
(17, {'lat': 14.52675944199523, 'lon': 121.05852127075197})
(18, {'lat': 14.529916715292586, 'lon': 121.00496292114259})
(19, {'lat': 14.529916715292586, 'lon': 121.0082244873047})
(20, {'lat': 14.529916715292586, 'lon': 121.01131439208984})
(21, {'lat': 14.529916715292586, 'lon': 121.01457595825197})
(22, {'lat': 14.529916715292586, 'lon': 121.01766586303712})
(23, {'lat': 14.529916715292586, 'lon': 121.02075576782228})
(24, {'lat': 14.529916715292586, 'lon': 121.02401733398439})
(25, {'lat': 14.529916715292586, 'lon': 121.02710723876955})
(26, {'lat': 14.529916715292586, 'lon': 121.0301971435547})
(27, {'lat': 14.529916715292586, 'lon': 121.03345870971681})
(29, {'lat': 14.529916715292586, 'lon': 121.03963851928712})
(30, {'lat': 14.529916715292586, 'lon': 121.04290008544923})
(32, {'lat': 14.529916715292586, 'lon': 121.04907989501955})
(33, {'lat': 14.529916715292586, 'lon': 121.05234146118165})
(35, {'lat': 14.529916715292586, 'lon': 121.05852127075197})
(36, {'lat': 14.533073943499117, 'lon': 121.00496292114259})
(37, {'lat': 14.533073943499117, 'lon': 121.0082244873047})
(38, {'lat': 14.533073943499117, 'lon': 121.01131439208984})
(39, {'lat': 14.533073943499117, 'lon': 121.01457595825197})
(40, {'lat': 14.533073943499117, 'lon': 121.01766586303712})
(41, {'lat': 14.533073943499117, 'lon': 121.02075576782228})
(42, {'lat': 14.533073943499117, 'lon': 121.02401733398439})
(43, {'lat': 14.533073943499117, 'lon': 121.02710723876955})
(44, {'lat': 14.533073943499117, 'lon': 121.0301971435547})
(45, {'lat': 14.533073943499117, 'lon': 121.03345870971681})
(47, {'lat': 14.533073943499117, 'lon': 121.03963851928712})
(48, {'lat': 14.533073943499117, 'lon': 121.04290008544923})
(50, {'lat': 14.533073943499117, 'lon': 121.04907989501955})
(51, {'lat': 14.533073943499117, 'lon': 121.05234146118165})
(53, {'lat': 14.533073943499117, 'lon': 121.05852127075197})
(54, {'lat': 14.536231126605891, 'lon': 121.00496292114259})
(55, {'lat': 14.536231126605891, 'lon': 121.0082244873047})
(56, {'lat': 14.536231126605891, 'lon': 121.01131439208984})
(57, {'lat': 14.536231126605891, 'lon': 121.01457595825197})
(58, {'lat': 14.536231126605891, 'lon': 121.01766586303712})
(59, {'lat': 14.536231126605891, 'lon': 121.02075576782228})
(60, {'lat': 14.536231126605891, 'lon': 121.02401733398439})
(61, {'lat': 14.536231126605891, 'lon': 121.02710723876955})
(62, {'lat': 14.536231126605891, 'lon': 121.0301971435547})
(63, {'lat': 14.536231126605891, 'lon': 121.03345870971681})
(65, {'lat': 14.536231126605891, 'lon': 121.03963851928712})
